,StatTime,Total,Date,Time,Month,Day_of_month,weekly_day_index,Week_label,Holiday
0,2019-01-26 18:00:00.000,2,2019-01-26,18:00:00,January,26,5,Saturday,False
1,2019-01-26 19:00:00.000,7,2019-01-26,19:00:00,January,26,5,Saturday,False
2,2019-01-26 20:00:00.000,2,2019-01-26,20:00:00,January,26,5,Saturday,False
3,2019-01-26 21:00:00.000,5,2019-01-26,21:00:00,January,26,5,Saturday,False
4,2019-01-26 22:00:00.000,2,2019-01-26,22:00:00,January,26,5,Saturday,False
5,2019-01-26 23:00:00.000,5,2019-01-26,23:00:00,January,26,5,Saturday,False
6,2019-01-27 00:00:00.000,1,2019-01-27,00:00:00,January,27,6,Sunday,False
7,2019-01-27 01:00:00.000,3,2019-01-27,01:00:00,January,27,6,Sunday,False
8,2019-01-27 04:00:00.000,1,2019-01-27,04:00:00,January,27,6,Sunday,False
9,2019-01-27 06:00:00.000,1,2019-01-27,06:00:00,January,27,6,Sunday,False
10,2019-01-27 13:00:00.000,1,2019-01-27,13:00:00,January,27,6,Sunday,False
11,2019-01-27 14:00:00.000,1,2019-01-27,14:00:00,January,27,6,Sunday,False
12,2019-01-27 15:00:00.000,6,2019-01-27,15:00:00,January,27,6,Sunday,False
13,2019-01-27 16:00:00.000,2,2019-01-27,16:00:00,January,27,6,Sunday,False
14,2019-01-27 17:00:00.000,4,2019-01-27,17:00:00,January,27,6,Sunday,False
15,2019-01-27 18:00:00.000,8,2019-01-27,18:00:00,January,27,6,Sunday,False
16,2019-01-27 19:00:00.000,4,2019-01-27,19:00:00,January,27,6,Sunday,False
17,2019-01-27 20:00:00.000,5,2019-01-27,20:00:00,January,27,6,Sunday,False
18,2019-01-27 21:00:00.000,5,2019-01-27,21:00:00,January,27,6,Sunday,False
19,2019-01-27 22:00:00.000,5,2019-01-27,22:00:00,January,27,6,Sunday,False
20,2019-01-27 23:00:00.000,1,2019-01-27,23:00:00,January,27,6,Sunday,False
21,2019-01-28 01:00:00.000,2,2019-01-28,01:00:00,January,28,0,Monday,True
22,2019-01-28 11:00:00.000,1,2019-01-28,11:00:00,January,28,0,Monday,True
23,2019-01-28 12:00:00.000,1,2019-01-28,12:00:00,January,28,0,Monday,True
